epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4371,1.60949,3.73241,1.40226,0.00278,0.78125,0.24666,0.09858,1.7143,3.71626,1.29828,0.00026,0.00026,0.00026
2,22.4912,1.52966,2.2808,1.25979,0.003,0.84375,0.33227,0.18881,1.41306,3.68235,1.22252,0.000537327,0.000537327,0.000537327
3,28.2578,1.48012,2.08514,1.23028,0.00289,0.8125,0.31356,0.15428,1.36124,3.60796,1.25674,0.000811882,0.000811882,0.000811882
4,33.5747,1.48844,1.97295,1.21984,0.00219,0.26562,0.0091,0.00253,1.65907,3.98674,1.62736,0.00108366,0.00108366,0.00108366
5,42.0975,1.56777,1.92762,1.26957,0.40813,0.125,0.20388,0.07071,1.56559,3.50037,1.52282,0.00135268,0.00135268,0.00135268
6,47.5148,1.52148,1.93721,1.2627,0.21428,0.22162,0.11869,0.05434,1.74616,3.17573,1.62352,0.00161892,0.00161892,0.00161892
7,52.8542,1.62951,1.96238,1.31544,0.19975,0.20312,0.10695,0.04717,1.8878,3.68599,1.58242,0.00188238,0.00188238,0.00188238
8,61.266,1.58688,1.78567,1.36274,0.20097,0.20312,0.13933,0.05877,2.10316,2.91276,1.64372,0.0019307,0.0019307,0.0019307
9,66.7886,1.63444,1.75457,1.36791,0.11445,0.09375,0.02109,0.00732,2.39804,4.77919,2.05212,0.0019208,0.0019208,0.0019208
10,72.2289,1.61478,1.68967,1.332,0.6132,0.32212,0.32537,0.12682,2.27646,2.53154,2.04437,0.0019109,0.0019109,0.0019109
11,80.6575,1.64578,1.56849,1.34331,0.20138,0.19706,0.0986,0.05128,2.07734,3.38625,1.85832,0.001901,0.001901,0.001901
12,86.2489,1.57476,1.47079,1.28975,0.40084,0.53125,0.3677,0.19533,1.54009,3.72586,1.42774,0.0018911,0.0018911,0.0018911
